date,high
2017-01-03,30.56
2017-01-04,30.42
2017-01-05,30.355
2017-01-06,30.35
2017-01-09,30.33
2017-01-10,30.55
2017-01-11,30.41
2017-01-12,30.155
2017-01-13,30.22
2017-01-17,30.25
2017-01-18,30.18
2017-01-19,30.19
2017-01-20,30.25
2017-01-23,30.3
2017-01-24,30.75
2017-01-25,31.05
2017-01-26,30.84
2017-01-27,30.98
2017-01-30,30.995
2017-01-31,30.89
2017-02-01,30.847
2017-02-02,31.26
2017-02-03,31.35
2017-02-06,31.305
2017-02-07,31.6399
2017-02-08,31.55
2017-02-09,31.69
2017-02-10,31.63
2017-02-13,31.995
2017-02-14,32.31
2017-02-15,32.84
2017-02-16,33.97
2017-02-17,33.77
2017-02-21,34.21
2017-02-22,34.1485
2017-02-23,34.28
2017-02-24,34.32
2017-02-27,34.32
2017-02-28,34.2869
2017-03-01,34.51
2017-03-02,34.53
2017-03-03,34.44
2017-03-06,34.28
2017-03-07,34.25
2017-03-08,34.23
2017-03-09,34.11
2017-03-10,34.295
2017-03-13,34.33
2017-03-14,34.14
2017-03-15,34.35
2017-03-16,34.48
2017-03-17,34.38
2017-03-20,34.385
2017-03-21,34.47
2017-03-22,34.2
2017-03-23,34.26
2017-03-24,34.3
2017-03-27,34.03
2017-03-28,34.21
2017-03-29,34.05
2017-03-30,33.9255
2017-03-31,33.88
2017-04-03,33.94
2017-04-04,33.42
2017-04-05,33.53
2017-04-06,33.28
2017-04-07,33.15
2017-04-10,33.22
2017-04-11,33.08
2017-04-12,32.96
2017-04-13,32.85
2017-04-17,32.67
2017-04-18,32.73
2017-04-19,32.89
2017-04-20,32.95
2017-04-21,32.94
2017-04-24,33.36
2017-04-25,33.52
2017-04-26,33.63
2017-04-27,34.11
2017-04-28,34.075
2017-05-01,34.14
2017-05-02,34.24
2017-05-03,34.335
2017-05-04,34.49
2017-05-05,34.4
2017-05-08,34.6
2017-05-09,34.255
2017-05-10,33.9
2017-05-11,33.82
2017-05-12,33.62
2017-05-15,34.46
2017-05-16,34.33
2017-05-17,34.31
2017-05-18,31.51
2017-05-19,31.78
2017-05-22,31.98
2017-05-23,31.87
2017-05-24,31.94
2017-05-25,31.69
2017-05-26,31.59
2017-05-30,31.81
2017-05-31,31.89
2017-06-01,31.82
2017-06-02,32.06
2017-06-05,32.05
2017-06-06,31.76
2017-06-07,31.72
2017-06-08,31.81
2017-06-09,31.83
2017-06-12,31.64
2017-06-13,31.8
2017-06-14,31.97
2017-06-15,31.64
2017-06-16,31.64
2017-06-19,32.02
2017-06-20,32.16
2017-06-21,31.87
2017-06-22,32.0
2017-06-23,32.3
2017-06-26,32.5
2017-06-27,32.26
2017-06-28,32.275
2017-06-29,32.025
2017-06-30,31.79
2017-07-03,31.64
2017-07-05,31.27
2017-07-06,31.02
2017-07-07,31.07
2017-07-10,31.09
2017-07-11,31.12
2017-07-12,31.44
2017-07-13,31.28
2017-07-14,31.45
2017-07-17,31.635
2017-07-18,31.51
2017-07-19,32.05
2017-07-20,32.05
2017-07-21,32.03
2017-07-24,31.925
2017-07-25,32.25
2017-07-26,32.225
2017-07-27,31.7502
2017-07-28,31.6
2017-07-31,31.59
2017-08-01,31.66
2017-08-02,31.57
2017-08-03,31.72
2017-08-04,31.91
2017-08-07,31.8799
2017-08-08,32.0
2017-08-09,31.675
2017-08-10,31.56
2017-08-11,31.545
2017-08-14,31.89
2017-08-15,32.21
2017-08-16,32.4652
2017-08-17,31.77
2017-08-18,31.06
2017-08-21,30.795
2017-08-22,31.33
2017-08-23,31.4
2017-08-24,31.4
2017-08-25,31.8
2017-08-28,31.66
2017-08-29,31.6299
2017-08-30,32.2
2017-08-31,32.34
2017-09-01,32.345
2017-09-05,32.245
2017-09-06,31.91
2017-09-07,31.97
2017-09-08,31.78
2017-09-11,32.3
2017-09-12,32.47
2017-09-13,32.39
2017-09-14,32.22
2017-09-15,32.5
2017-09-18,32.66
2017-09-19,32.65
2017-09-20,32.75
2017-09-21,32.9
2017-09-22,33.53
2017-09-25,33.84
2017-09-26,34.1
2017-09-27,33.92
2017-09-28,33.46
2017-09-29,33.67
2017-10-02,33.77
2017-10-03,33.9
2017-10-04,33.56
2017-10-05,33.67
2017-10-06,33.78
2017-10-09,33.89
2017-10-10,33.91
2017-10-11,33.63
2017-10-12,33.46
2017-10-13,33.57
2017-10-16,33.64
2017-10-17,33.67
2017-10-18,33.75
2017-10-19,33.89
2017-10-20,34.39
2017-10-23,34.68
2017-10-24,34.675
2017-10-25,34.73
2017-10-26,34.51
2017-10-27,34.62
2017-10-30,34.38
2017-10-31,34.24
2017-11-01,34.75
2017-11-02,34.64
2017-11-03,34.49
2017-11-06,34.56
2017-11-07,34.48
2017-11-09,34.32
2017-11-10,34.09
2017-11-13,34.21
2017-11-14,34.16
2017-11-15,34.31
2017-11-16,36.67
2017-11-17,36.32
2017-11-20,36.54
2017-11-21,36.97
2017-11-22,36.715
2017-11-24,36.57
2017-11-27,37.09
2017-11-28,37.8
2017-11-29,38.025
2017-11-30,37.8
2017-12-01,37.66
2017-12-04,37.99
2017-12-05,37.82
2017-12-06,37.72
2017-12-07,37.78
2017-12-08,37.69
2017-12-11,38.04
2017-12-12,38.1
2017-12-13,38.37
2017-12-14,38.27
2017-12-15,38.28
2017-12-18,38.89
2017-12-19,38.86
2017-12-20,38.8
2017-12-21,38.995
2017-12-22,38.74
2017-12-26,38.68
2017-12-27,38.65
2017-12-28,38.73
2017-12-29,38.62
