date,high
2016-10-06,31.63
2016-10-07,31.6
2016-10-10,31.68
2016-10-11,31.53
2016-10-12,30.63
2016-10-13,30.25
2016-10-14,30.55
2016-10-17,30.42
2016-10-18,30.69
2016-10-19,30.45
2016-10-20,30.3736
2016-10-21,30.2
2016-10-24,30.5
2016-10-25,30.51
2016-10-26,30.86
2016-10-27,30.67
2016-10-28,30.8
2016-10-31,30.77
2016-11-01,30.86
2016-11-02,30.68
2016-11-03,30.56
2016-11-04,30.495
2016-11-07,31.06
2016-11-08,31.195
2016-11-09,31.49
2016-11-10,31.76
2016-11-11,31.47
2016-11-14,31.67
2016-11-15,31.85
2016-11-16,31.89
2016-11-17,30.05
2016-11-18,30.36
2016-11-21,30.33
2016-11-22,30.19
2016-11-23,29.95
2016-11-25,30.145
2016-11-28,30.09
2016-11-29,30.1
2016-11-30,29.95
2016-12-01,29.85
2016-12-02,29.56
2016-12-05,29.6
2016-12-06,29.59
2016-12-07,30.04
2016-12-08,30.33
2016-12-09,30.07
2016-12-12,30.2
2016-12-13,30.64
2016-12-14,31.065
2016-12-15,30.8
2016-12-16,30.72
2016-12-19,30.87
2016-12-20,30.87
2016-12-21,30.69
2016-12-22,30.48
2016-12-23,30.6
2016-12-27,30.82
2016-12-28,30.77
2016-12-29,30.55
2016-12-30,30.6
